title,date,summary,link
Trump says Taiwan is doubling the size of chipmaking plant in Arizona - Fox Business,"Wed, 01 Jul 2026 15:52:00 GMT","<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxNVGZxTXF0R3lBT0lYS2JtOHlEZWFjN2d2X1hfbGhCV0RPZzREV09HVzJ1QVBVNDZBZFNFV3ZGMmg5UFpXWHRYMDNlTnhEdFVya3NzWVVYaXZXLVFxb3J4dzlIVmEyaEZPbXpiTHhkZEVjalpBdmNqMXF4UUZUT0ZPR0RuY0ZkNURzR0wtWGFXNFAzSUVKQksw0gGcAUFVX3lxTE9fMHJPSEdpME1CN3p1MDV6dmV6UFVWQzN0VVg3ZEY1eTZVdXROajAxOERYVFNEZlV0Z2dzUmMtYkMyaDZmUlhUQ3owNnVPY29vT2VNQkNMbkZpY0dYcWhZMnZXR0lRendPb0hpdTBuVzdfeWQ1NnRxeWYtcnlfU2hGTTRycHdsYm1fRkk3Z3NqWFgzTXdWWFluQm1pVA?oc=5"" target=""_blank"">Trump says Taiwan is doubling the size of chipmaking plant in Arizona</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fox Business</font>",https://news.google.com/rss/articles/CBMilwFBVV95cUxNVGZxTXF0R3lBT0lYS2JtOHlEZWFjN2d2X1hfbGhCV0RPZzREV09HVzJ1QVBVNDZBZFNFV3ZGMmg5UFpXWHRYMDNlTnhEdFVya3NzWVVYaXZXLVFxb3J4dzlIVmEyaEZPbXpiTHhkZEVjalpBdmNqMXF4UUZUT0ZPR0RuY0ZkNURzR0wtWGFXNFAzSUVKQksw0gGcAUFVX3lxTE9fMHJPSEdpME1CN3p1MDV6dmV6UFVWQzN0VVg3ZEY1eTZVdXROajAxOERYVFNEZlV0Z2dzUmMtYkMyaDZmUlhUQ3owNnVPY29vT2VNQkNMbkZpY0dYcWhZMnZXR0lRendPb0hpdTBuVzdfeWQ1NnRxeWYtcnlfU2hGTTRycHdsYm1fRkk3Z3NqWFgzTXdWWFluQm1pVA?oc=5
"The White House wanted to make money from 2 chip companies. Nearly a year later, it hasn't gotten a cent. - Politico","Wed, 24 Jun 2026 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxQbGdORGt6ZlBWSHBVR1JiME1ZSFl2Z1lHczNpMEtkaFNJRlE3bTZxVVM3WmVUWE5feC1RZTNmeG9IeUNTMVl6b1BuZ1JucFdmalM5eGg0MnM3US1jWUtQWHl6LXRJV3MwM2dyblE5Sy1fSndDeG5lcjM2dThScXZ0aE1UOFFJZw?oc=5"" target=""_blank"">The White House wanted to make money from 2 chip companies. Nearly a year later, it hasn't gotten a cent.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Politico</font>",https://news.google.com/rss/articles/CBMihgFBVV95cUxQbGdORGt6ZlBWSHBVR1JiME1ZSFl2Z1lHczNpMEtkaFNJRlE3bTZxVVM3WmVUWE5feC1RZTNmeG9IeUNTMVl6b1BuZ1JucFdmalM5eGg0MnM3US1jWUtQWHl6LXRJV3MwM2dyblE5Sy1fSndDeG5lcjM2dThScXZ0aE1UOFFJZw?oc=5
"Apple to Buy Computer Chips From Intel, Trump Says - The New York Times","Thu, 18 Jun 2026 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMif0FVX3lxTE1jZWpDbTdNTGNZTTlvNXBHTGVPQWhFY2ZEWFUtaHA2aXNYTGt2SDIwUDlrN0c0MDJtS0JUaExmdDBYRW95SUZzSWVZUU9pMFVRTW11TVhWb01fY3JacWRZcHJHLXdxTEl2akJaZXJGQWpHbkczNHFvWjQzLTJxTDQ?oc=5"" target=""_blank"">Apple to Buy Computer Chips From Intel, Trump Says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>",https://news.google.com/rss/articles/CBMif0FVX3lxTE1jZWpDbTdNTGNZTTlvNXBHTGVPQWhFY2ZEWFUtaHA2aXNYTGt2SDIwUDlrN0c0MDJtS0JUaExmdDBYRW95SUZzSWVZUU9pMFVRTW11TVhWb01fY3JacWRZcHJHLXdxTEl2akJaZXJGQWpHbkczNHFvWjQzLTJxTDQ?oc=5
"After Nvidia And Tesla, Trump Confirms Apple Has Agreed To Build Chips With Intel Amid US Manufacturing Push: 'When Was The Last Time...' - Yahoo Finance","Sat, 20 Jun 2026 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxPRGpQNE1TQ3FodkdDQjRpRFhyUkpBeXEza2hrSUhjLTE2ZWswRmgtdXNaQklkaE1rcjlmY04yYWRhNkpKeUZMQ0pCSVhvcUZWNk5wdTVza3RlZFd0NU1EdnlYWFRrTzNrWURGcERxQ1RMVExHZGhtaGZ2Q1FuSDdZSUYwM0RvNzRaczVqajBjTERacVk5Q0dxekRR?oc=5"" target=""_blank"">After Nvidia And Tesla, Trump Confirms Apple Has Agreed To Build Chips With Intel Amid US Manufacturing Push: 'When Was The Last Time...'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",https://news.google.com/rss/articles/CBMimgFBVV95cUxPRGpQNE1TQ3FodkdDQjRpRFhyUkpBeXEza2hrSUhjLTE2ZWswRmgtdXNaQklkaE1rcjlmY04yYWRhNkpKeUZMQ0pCSVhvcUZWNk5wdTVza3RlZFd0NU1EdnlYWFRrTzNrWURGcERxQ1RMVExHZGhtaGZ2Q1FuSDdZSUYwM0RvNzRaczVqajBjTERacVk5Q0dxekRR?oc=5
Semiconductor industry group warns Trump administration that memory chip interventions could backfire - Crypto Briefing,"Fri, 03 Jul 2026 00:17:21 GMT","<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxNMUhodm1WejJZMDN1WHRLMlJMVFNWem9yalRTSlgtU1Jkczd2Mm1oSmNvY3oyS0pFS3o4cWIxZXJIYzRLLXR6dDdSX2Y0QkV4NVBNT3IyeFJ2UWVQMTM5VW92QVNQaHdvSklhcHM2alZoeVJMclp1cE85MzZtVjc2TnAybjJqZk9GY2gyQVZR?oc=5"" target=""_blank"">Semiconductor industry group warns Trump administration that memory chip interventions could backfire</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Crypto Briefing</font>",https://news.google.com/rss/articles/CBMijgFBVV95cUxNMUhodm1WejJZMDN1WHRLMlJMVFNWem9yalRTSlgtU1Jkczd2Mm1oSmNvY3oyS0pFS3o4cWIxZXJIYzRLLXR6dDdSX2Y0QkV4NVBNT3IyeFJ2UWVQMTM5VW92QVNQaHdvSklhcHM2alZoeVJMclp1cE85MzZtVjc2TnAybjJqZk9GY2gyQVZR?oc=5
Ranking Member Lofgren Calls Out Trump Admin for Illegal Use of CHIPS and Science Funds - House.gov,"Thu, 21 May 2026 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxOZEV0ZnFwejF2Q3FMTGNkd2otYWVzeWowbkVsbUkxYXFlZ1loSFNPcmJwWW8xcURGTm8ySExObXRrSzAwQkxId2pYaUlZTHVUblJGcHltYlAwRGZzTnlnMHR3U3JFclhwczBzWFZrTDVKQkVmZXFSZDBiXzFKY1ZOc1lfbEU5Tm1YamsxSnJDNmswUzRsTWRzUUs4V1ZrSm9tV3hRdUFsRk1ZRzZ5VW50OUh5YjNrLUZwNHBFdFlGVEl3Q3pLMDl3YVB4aE9SWHRRMHg1NVQyUVA0MzA?oc=5"" target=""_blank"">Ranking Member Lofgren Calls Out Trump Admin for Illegal Use of CHIPS and Science Funds</a>&nbsp;&nbsp;<font color=""#6f6f6f"">House.gov</font>",https://news.google.com/rss/articles/CBMi2wFBVV95cUxOZEV0ZnFwejF2Q3FMTGNkd2otYWVzeWowbkVsbUkxYXFlZ1loSFNPcmJwWW8xcURGTm8ySExObXRrSzAwQkxId2pYaUlZTHVUblJGcHltYlAwRGZzTnlnMHR3U3JFclhwczBzWFZrTDVKQkVmZXFSZDBiXzFKY1ZOc1lfbEU5Tm1YamsxSnJDNmswUzRsTWRzUUs4V1ZrSm9tV3hRdUFsRk1ZRzZ5VW50OUh5YjNrLUZwNHBFdFlGVEl3Q3pLMDl3YVB4aE9SWHRRMHg1NVQyUVA0MzA?oc=5
Intel gains 10% after Trump says company will partner with Apple on U.S. chip design - CNBC,"Thu, 18 Jun 2026 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMie0FVX3lxTE9EYlA1MHNsNk83YllqeGQ4NjVjajZXSnpUdHRUcU1OaTZoM1hXUGZhb2ktT3BFUHBVTmEtOFowaUw3Qk9LWHJPeGdJWmRrWXV0YXBYaERka3kwMzlGTVAteFA4X1BQSlFKNy13QjZWb2h1UTU2azhmT3VPMNIBgAFBVV95cUxNajJvNDlLalFrd0RUcldYN0tHVUZlOEJfX1Q4bGZ3M004S2ktUGY5dmFFd0Q3R1Q2djBzN1NvQWJSSksxYWVjTV9NdW44U2ttTFU4NzRZNzFCSHBWWlB2VXowcGt0dlFWbXM1bkhwTjRFY2l1Qm1HVHFDU0dEUTczcg?oc=5"" target=""_blank"">Intel gains 10% after Trump says company will partner with Apple on U.S. chip design</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC</font>",https://news.google.com/rss/articles/CBMie0FVX3lxTE9EYlA1MHNsNk83YllqeGQ4NjVjajZXSnpUdHRUcU1OaTZoM1hXUGZhb2ktT3BFUHBVTmEtOFowaUw3Qk9LWHJPeGdJWmRrWXV0YXBYaERka3kwMzlGTVAteFA4X1BQSlFKNy13QjZWb2h1UTU2azhmT3VPMNIBgAFBVV95cUxNajJvNDlLalFrd0RUcldYN0tHVUZlOEJfX1Q4bGZ3M004S2ktUGY5dmFFd0Q3R1Q2djBzN1NvQWJSSksxYWVjTV9NdW44U2ttTFU4NzRZNzFCSHBWWlB2VXowcGt0dlFWbXM1bkhwTjRFY2l1Qm1HVHFDU0dEUTczcg?oc=5
President Trump Announces New 25% Section 232 Tariff on Narrow Category of Semiconductors Critical to AI - thompsonhinesmartrade.com,"Fri, 23 Jan 2026 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxPOHAyVU1jRzNROE9BNHVmWGJaMnFJOUJabGJWZWlJMDctYTAzc2hLLWJMQl9DSUc5M1RLenV3WjhuVE84WWtKOTZOSVhVejFyTGR5M0NwQm5sWnZpZnlpbGxMWjB1SmFYVXdZVTZOUzJJSTNLQjJhWnd6TFhrOVo3ekhQOU9Kb1p5dUE0d05rY0VzUW4zQ3NBQXZQZzMwWjNtd1pWeXlJUHBJZnd5UFJFOEV5d3JMdkJ0Q0xJWVNyV2VNYlJYWnBwd0pQQloyM0drMlhwZUQxVXZ1TVQ1V1pURmN1OVM?oc=5"" target=""_blank"">President Trump Announces New 25% Section 232 Tariff on Narrow Category of Semiconductors Critical to AI</a>&nbsp;&nbsp;<font color=""#6f6f6f"">thompsonhinesmartrade.com</font>",https://news.google.com/rss/articles/CBMi5AFBVV95cUxPOHAyVU1jRzNROE9BNHVmWGJaMnFJOUJabGJWZWlJMDctYTAzc2hLLWJMQl9DSUc5M1RLenV3WjhuVE84WWtKOTZOSVhVejFyTGR5M0NwQm5sWnZpZnlpbGxMWjB1SmFYVXdZVTZOUzJJSTNLQjJhWnd6TFhrOVo3ekhQOU9Kb1p5dUE0d05rY0VzUW4zQ3NBQXZQZzMwWjNtd1pWeXlJUHBJZnd5UFJFOEV5d3JMdkJ0Q0xJWVNyV2VNYlJYWnBwd0pQQloyM0drMlhwZUQxVXZ1TVQ1V1pURmN1OVM?oc=5
"Trump: Apple partnering with Intel on chip design, production in US - The Hill","Thu, 18 Jun 2026 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxNcFd1UTZfZmNLUmV2eVFZUjkzaC1FUUdrU3luT1ppZUJZX3F2dkN2Z2wtOXBxVXBSWG92ZmduN09PVHRNbGxrTFRBcUJjM3dYT0NXcVZuY2YzNUFfVjZYTEZsLXJKenZEbGpLVW1LOEE5VzdIWFZDdGxuQkcyR25hdVVuODlKVlF20gGOAUFVX3lxTE9HS05wMDZidnRYam5fRHR3d19QazZmUERiSHZuZ3lrOVBxY20tMVBGY2ZfSkItdzdIWDJWV2dZX2dic3c3WkQxUzFqUnY0NWgwZXVRQkVNbG92T1YxMkFGOXZEcHhXZFNpNi1KVXBZNmdfaU42UzJCaGtFc2FlUnFOQnNmUmR4R1otYjZCWmc?oc=5"" target=""_blank"">Trump: Apple partnering with Intel on chip design, production in US</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hill</font>",https://news.google.com/rss/articles/CBMiiAFBVV95cUxNcFd1UTZfZmNLUmV2eVFZUjkzaC1FUUdrU3luT1ppZUJZX3F2dkN2Z2wtOXBxVXBSWG92ZmduN09PVHRNbGxrTFRBcUJjM3dYT0NXcVZuY2YzNUFfVjZYTEZsLXJKenZEbGpLVW1LOEE5VzdIWFZDdGxuQkcyR25hdVVuODlKVlF20gGOAUFVX3lxTE9HS05wMDZidnRYam5fRHR3d19QazZmUERiSHZuZ3lrOVBxY20tMVBGY2ZfSkItdzdIWDJWV2dZX2dic3c3WkQxUzFqUnY0NWgwZXVRQkVNbG92T1YxMkFGOXZEcHhXZFNpNi1KVXBZNmdfaU42UzJCaGtFc2FlUnFOQnNmUmR4R1otYjZCWmc?oc=5
President Trump orders narrowly targeted 25% Section 232 tariff on certain advanced semiconductor articles - White & Case LLP,"Wed, 21 Jan 2026 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxNTnhlY1ZOeWdJRGpzbDA5UW5RQUNIMl9wR01rMzVtajQ0TGpLNFA4bEJZZ1lYd3R1YUlIV0VHWDZ3ZllmbWNTRVYyNHNJRjZZV2pOdTFqOHFadFlFdVlGX1hidlFoVWdzWW9YdmpZZWxvNWl3ZlNaYWxlN1FET2FNZ01XNnk3M09zdm1qb0NNN0pzWnFKaWVRR1BPMkozX3BwTTFMTFZxYzJvd2Fvd3BiODF5YzZMdTI1YnRz?oc=5"" target=""_blank"">President Trump orders narrowly targeted 25% Section 232 tariff on certain advanced semiconductor articles</a>&nbsp;&nbsp;<font color=""#6f6f6f"">White & Case LLP</font>",https://news.google.com/rss/articles/CBMiuwFBVV95cUxNTnhlY1ZOeWdJRGpzbDA5UW5RQUNIMl9wR01rMzVtajQ0TGpLNFA4bEJZZ1lYd3R1YUlIV0VHWDZ3ZllmbWNTRVYyNHNJRjZZV2pOdTFqOHFadFlFdVlGX1hidlFoVWdzWW9YdmpZZWxvNWl3ZlNaYWxlN1FET2FNZ01XNnk3M09zdm1qb0NNN0pzWnFKaWVRR1BPMkozX3BwTTFMTFZxYzJvd2Fvd3BiODF5YzZMdTI1YnRz?oc=5
"Trump imposes 25% tariff on some semiconductors, including Nvidia chips - Axios","Wed, 14 Jan 2026 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMickFVX3lxTE4xYnpGeV9hcUlLTWNMNERTelhBcVpyQkRFWWt0Q21QNWIzNjBCS3pWTHhMWld5SEhjSWxFNFdDWmNCdl9KeDBGLVZWNkY1bFBFVXQxQ3hLaEFNc1EtZjZtWldWVmhRRzRqZVZZQjJmcFBQZw?oc=5"" target=""_blank"">Trump imposes 25% tariff on some semiconductors, including Nvidia chips</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Axios</font>",https://news.google.com/rss/articles/CBMickFVX3lxTE4xYnpGeV9hcUlLTWNMNERTelhBcVpyQkRFWWt0Q21QNWIzNjBCS3pWTHhMWld5SEhjSWxFNFdDWmNCdl9KeDBGLVZWNkY1bFBFVXQxQ3hLaEFNc1EtZjZtWldWVmhRRzRqZVZZQjJmcFBQZw?oc=5
Trump enacts 25% tariff on chips — with a caveat - CNN,"Wed, 14 Jan 2026 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiY0FVX3lxTFA1RUJiOVplSmtUQThQSnhCbXYwSVdtLWVsQktBM2NnV1lZbTBObTFkQ3VONG1VNXBZclFrVzFIUGxvZUJHdGltUHhEc3kxQ3oxc1VLSms5dzNnbVFlbnZzdlBwQQ?oc=5"" target=""_blank"">Trump enacts 25% tariff on chips — with a caveat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font>",https://news.google.com/rss/articles/CBMiY0FVX3lxTFA1RUJiOVplSmtUQThQSnhCbXYwSVdtLWVsQktBM2NnV1lZbTBObTFkQ3VONG1VNXBZclFrVzFIUGxvZUJHdGltUHhEc3kxQ3oxc1VLSms5dzNnbVFlbnZzdlBwQQ?oc=5
Trump’s Chip Strategy Needs Recalibration - Just Security,"Mon, 15 Dec 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiggFBVV95cUxQb3RldXluM0xCWkoxZldNYmN0aWduVEVsMFAtekVXRGVQem0zR1hpQWM4aEVZOU5YWEVXT0hqSFpNcGRCT0V4SUVPWHM4Tk9JLVpic3hWdVRtMDRMWWM1UUlPanBTYk5GcUtjcGM5TUxWUFEyekRsejgxV3dMdDY1SDdR?oc=5"" target=""_blank"">Trump’s Chip Strategy Needs Recalibration</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Just Security</font>",https://news.google.com/rss/articles/CBMiggFBVV95cUxQb3RldXluM0xCWkoxZldNYmN0aWduVEVsMFAtekVXRGVQem0zR1hpQWM4aEVZOU5YWEVXT0hqSFpNcGRCT0V4SUVPWHM4Tk9JLVpic3hWdVRtMDRMWWM1UUlPanBTYk5GcUtjcGM5TUxWUFEyekRsejgxV3dMdDY1SDdR?oc=5
Chipmakers have mixed reactions to Trump’s phase-one tariffs - Manufacturing Dive,"Tue, 20 Jan 2026 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxNeXFwemNYRFdwemdINGdCVmpwajJhd2VfZndBWU5nbGppMXZqd2ZJY3VwbjdjTmQ5X1ZkV2M0SmVQZnUtc2p4R3VySlRUYVZWNmozV2hpSEdKN3FwQXl0VXp3alV1Sy1uSHJXVkxGeURpUXp0QXpUbTlFQzIxSk5mSm1aMEFCZFg1VkttaWtoUlNCQ3VLOFFnOEEwOW5BYnNEU25ZZmdpbEJUTVlpTGpsVEVZN0Zab3c4bkhLYWttR1Y?oc=5"" target=""_blank"">Chipmakers have mixed reactions to Trump’s phase-one tariffs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Manufacturing Dive</font>",https://news.google.com/rss/articles/CBMiwAFBVV95cUxNeXFwemNYRFdwemdINGdCVmpwajJhd2VfZndBWU5nbGppMXZqd2ZJY3VwbjdjTmQ5X1ZkV2M0SmVQZnUtc2p4R3VySlRUYVZWNmozV2hpSEdKN3FwQXl0VXp3alV1Sy1uSHJXVkxGeURpUXp0QXpUbTlFQzIxSk5mSm1aMEFCZFg1VkttaWtoUlNCQ3VLOFFnOEEwOW5BYnNEU25ZZmdpbEJUTVlpTGpsVEVZN0Zab3c4bkhLYWttR1Y?oc=5
How A.I. Was the Elephant in the Room at the Trump-Xi Summit - Time Magazine,"Fri, 15 May 2026 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxOTFJfUlRyOXZzTHZOU0c3VWJBUXhzekNpbUZsa3ZSSkRqUXF3aHMxZ0FDYmRMTG02MHVOeDVqYmMwRG5qTzhoUDIzb3hxRUotX25CcjY5XzFDTFdZeUNEcF9YN1NNUDdicjJOSDk1RE9SUWpkbVdsNHhtMnd4Tk85T1lxWldJa19zcmpkdA?oc=5"" target=""_blank"">How A.I. Was the Elephant in the Room at the Trump-Xi Summit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Time Magazine</font>",https://news.google.com/rss/articles/CBMijAFBVV95cUxOTFJfUlRyOXZzTHZOU0c3VWJBUXhzekNpbUZsa3ZSSkRqUXF3aHMxZ0FDYmRMTG02MHVOeDVqYmMwRG5qTzhoUDIzb3hxRUotX25CcjY5XzFDTFdZeUNEcF9YN1NNUDdicjJOSDk1RE9SUWpkbVdsNHhtMnd4Tk85T1lxWldJa19zcmpkdA?oc=5
"Apple agrees to build chips with Intel in the U.S., Trump says - CTech","Thu, 18 Jun 2026 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiZ0FVX3lxTE10VThHcXFiTGJOOXB1M0l6M2JmeGhaRjRYdnlKZ1Y5RTEwR3Bnbl9mN0lJSkxNd1hqc1hvSm5UVzV5RGRldU15UXRTZFBCejlMaHlya3k5NkhxOWJYeWpnbVg2RHFFSUk?oc=5"" target=""_blank"">Apple agrees to build chips with Intel in the U.S., Trump says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CTech</font>",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE10VThHcXFiTGJOOXB1M0l6M2JmeGhaRjRYdnlKZ1Y5RTEwR3Bnbl9mN0lJSkxNd1hqc1hvSm5UVzV5RGRldU15UXRTZFBCejlMaHlya3k5NkhxOWJYeWpnbVg2RHFFSUk?oc=5
Trump’s kowtow to China on Taiwan risks tech disaster for the U.S. and the world | Opinion - Inquirer.com,"Sun, 07 Jun 2026 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxNMldaanlfeGhRSG9QQzF6R0F1NHByS0hvVnpjRUNpTlZmN1dYRmNaU2w0dWU4d29YR0UwRXJTbGpaLUZPcWZTRnJ6Rk1ONFpjNzhrbWpRTnNlN3hyYWtwS0h6dm5LV3hVb2h2OUNkZ1ZVUWlEOVNRN3R5RjJPaUp6MzI3aGgxRVdONkZIY1hZSldxc01XUWRwQjNmWV9KRHVHNVhSdXBxMDBZZw?oc=5"" target=""_blank"">Trump’s kowtow to China on Taiwan risks tech disaster for the U.S. and the world | Opinion</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Inquirer.com</font>",https://news.google.com/rss/articles/CBMiqgFBVV95cUxNMldaanlfeGhRSG9QQzF6R0F1NHByS0hvVnpjRUNpTlZmN1dYRmNaU2w0dWU4d29YR0UwRXJTbGpaLUZPcWZTRnJ6Rk1ONFpjNzhrbWpRTnNlN3hyYWtwS0h6dm5LV3hVb2h2OUNkZ1ZVUWlEOVNRN3R5RjJPaUp6MzI3aGgxRVdONkZIY1hZSldxc01XUWRwQjNmWV9KRHVHNVhSdXBxMDBZZw?oc=5
US plans Big Tech carve-out from next wave of chip tariffs - Financial Times,"Mon, 09 Feb 2026 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMihAFBVV95cUxPWDd2UEdfeDhENHNkaFdpNU9MTjNiSml6NVl2UDg1MEJObE43c0tlV2dOdFZnMTR2bW9jNDZWdUt5YUxMVjgtbm5LNE9kc0lHczc5VWs4ZDFWQzNUNWR4YmJEanBneUNlWWhsc1hhY0JoWlhDTWtBYjNobGlaM1BtRWN3cUk?oc=5"" target=""_blank"">US plans Big Tech carve-out from next wave of chip tariffs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Financial Times</font>",https://news.google.com/rss/articles/CBMihAFBVV95cUxPWDd2UEdfeDhENHNkaFdpNU9MTjNiSml6NVl2UDg1MEJObE43c0tlV2dOdFZnMTR2bW9jNDZWdUt5YUxMVjgtbm5LNE9kc0lHczc5VWs4ZDFWQzNUNWR4YmJEanBneUNlWWhsc1hhY0JoWlhDTWtBYjNobGlaM1BtRWN3cUk?oc=5
Trump Imposes Limited Tariffs on Foreign Semiconductors - The New York Times,"Wed, 14 Jan 2026 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiggFBVV95cUxONExmSnFMaW9RSkUzU1JqeE8zZmF6NS10c3A5UVVMTWRzT0hvS2ZkbElodXJELXNpa1BrZ0RPNXN0Y281MG5KaFh2U3ZIYnlFaEx6cE5SODRYeTN0d2g3eWktVEVHSmhHR0lqY0xRdlZ5LWhuTk9GR3BzSzFQTXBXVVVn?oc=5"" target=""_blank"">Trump Imposes Limited Tariffs on Foreign Semiconductors</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>",https://news.google.com/rss/articles/CBMiggFBVV95cUxONExmSnFMaW9RSkUzU1JqeE8zZmF6NS10c3A5UVVMTWRzT0hvS2ZkbElodXJELXNpa1BrZ0RPNXN0Y281MG5KaFh2U3ZIYnlFaEx6cE5SODRYeTN0d2g3eWktVEVHSmhHR0lqY0xRdlZ5LWhuTk9GR3BzSzFQTXBXVVVn?oc=5
Trump says Taiwan 'stole our chip industry' — but TSMC was built by a US citizen and 25-year Texas Instruments veteran - Yahoo Finance,"Tue, 19 May 2026 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxPQVlzZFdYTXExWk51YzBOY2ZZZGc2WUkxc1BBa1UzbGtEOE9HRzRKemlMVzRwa3ZleWkybnlhZ0hOOElBRzA0QVE4WEhtUm9rcVN5dTRpbFRURldKNnRVUGZMb2YxVS1jNGtSc04xVlFhdFk0V3ppY2o2SWFtOXNpRXdfRWxaS3ZlNE9KSUpIVi1lYVZZTHJfRGNvam5PZw?oc=5"" target=""_blank"">Trump says Taiwan 'stole our chip industry' — but TSMC was built by a US citizen and 25-year Texas Instruments veteran</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",https://news.google.com/rss/articles/CBMingFBVV95cUxPQVlzZFdYTXExWk51YzBOY2ZZZGc2WUkxc1BBa1UzbGtEOE9HRzRKemlMVzRwa3ZleWkybnlhZ0hOOElBRzA0QVE4WEhtUm9rcVN5dTRpbFRURldKNnRVUGZMb2YxVS1jNGtSc04xVlFhdFk0V3ppY2o2SWFtOXNpRXdfRWxaS3ZlNE9KSUpIVi1lYVZZTHJfRGNvam5PZw?oc=5
